Forum,Weekday,WeekdayNr,Z
3dprinting,Tue,3,1.23401412426974
3dprinting,Wed,4,1.26884516809994
3dprinting,Thu,5,0.223913853194107
3dprinting,Fri,6,-0.512513930644289
3dprinting,Sat,7,-1.10961753916191
3dprinting,Sun,1,-1.14942444639642
3dprinting,Mon,2,0.0447827706388214
3dprinting.meta,Tue,3,1.53696975684835
3dprinting.meta,Wed,4,0.793476256584313
3dprinting.meta,Thu,5,0.443596962342411
3dprinting.meta,Fri,6,-0.431101273262343
3dprinting.meta,Sat,7,-1.3057995088671
3dprinting.meta,Sun,1,-0.955920214625196
3dprinting.meta,Mon,2,-0.0812219790204413
academia,Tue,3,0.791498539367446
academia,Wed,4,0.716250174099442
academia,Thu,5,0.844119773820596
academia,Fri,6,0.221084357895304
academia,Sat,7,-1.50383970747894
academia,Sun,1,-1.33018963378355
academia,Mon,2,0.261076496079698
academia.meta,Tue,3,0.783634392279045
academia.meta,Wed,4,1.23636750566867
academia.meta,Thu,5,0.299315247722706
academia.meta,Fri,6,0.0360983213333919
academia.meta,Sun,1,-0.900953936612568
academia.meta,Mon,2,0.246671862444844
academia.meta,Sat,7,-1.70113339283608
ai,Tue,3,1.03461563596258
ai,Wed,4,0.819555082419794
ai,Thu,5,0.924179135494661
ai,Fri,6,0.0232497895721927
ai,Sat,7,-1.17992682078878
ai,Sun,1,-1.40079982172461
ai,Mon,2,-0.220873000935831
ai.meta,Tue,3,1.23996951460679
ai.meta,Wed,4,1.39706972460222
ai.meta,Thu,5,0.375918359631922
ai.meta,Fri,6,-0.763058162834946
ai.meta,Sat,7,-0.566682900340658
ai.meta,Sun,1,-0.998708477828091
ai.meta,Mon,2,-0.684508057837231
android,Mon,2,0.46068820670859
android,Tue,3,0.795859981009644
android,Wed,4,0.683490253209291
android,Thu,5,0.715457503359391
android,Sat,7,-1.55373290502274
android,Fri,6,0.208825023707799
android,Sun,1,-1.31058806297198
android.meta,Mon,2,0.235784339055419
android.meta,Tue,3,1.10128538851495
android.meta,Wed,4,0.718854692242132
android.meta,Thu,5,0.708790726550742
android.meta,Fri,6,-0.0460067003034963
android.meta,Sat,7,-1.27381051465306
android.meta,Sun,1,-1.44489793140669
anime,Tue,3,0.1342138247726
anime,Wed,4,0.438168663228194
anime,Thu,5,0.852652533849458
anime,Fri,6,0.241979631134128
anime,Sat,7,-1.81386036714734
anime,Sun,1,-0.849494561501868
anime,Mon,2,0.99634027566483
anime.meta,Tue,3,1.35269843772911
anime.meta,Wed,4,0.242552823316943
anime.meta,Thu,5,0.43846087291909
anime.meta,Fri,6,0.307855506517659
anime.meta,Sat,7,-1.36824669563404
anime.meta,Sun,1,-1.34647913456713
anime.meta,Mon,2,0.373158189718374
apple,Tue,3,0.801683866611905
apple,Wed,4,0.952777891869102
apple,Thu,5,0.595274792222087
apple,Fri,6,0.156413371282735
apple,Sat,7,-1.47225969014349
apple,Sun,1,-1.34419566588704
apple,Mon,2,0.310305434044695
apple.meta,Tue,3,1.09891437840113
apple.meta,Wed,4,0.659975682320792
apple.meta,Thu,5,0.857498095556943
apple.meta,Sat,7,-1.29330151523671
apple.meta,Mon,2,0.100328844818363
apple.meta,Fri,6,-0.031352764005738
apple.meta,Sun,1,-1.39206272185478
arabic,Tue,3,1.06938319128284
arabic,Wed,4,1.58210115970613
arabic,Thu,5,0.112309650226052
arabic,Fri,6,-0.810582692935854
arabic,Sat,7,-0.913126286620511
arabic,Sun,1,-0.913126286620511
arabic,Mon,2,-0.126958735038146
arabic.meta,Tue,3,1.6343720690174
arabic.meta,Wed,4,0.911807575346549
arabic.meta,Thu,5,0.0688156660638905
arabic.meta,Fri,6,-1.01503107444239
arabic.meta,Sat,7,-0.412893996383343
arabic.meta,Mon,2,-0.0516117495479179
arabic.meta,Sun,1,-1.13545849005419
arduino,Tue,3,0.6475561868494
arduino,Wed,4,0.951918533117719
arduino,Thu,5,0.653298872628047
arduino,Fri,6,0.216854753450834
arduino,Sat,7,-1.37578343582742
arduino,Sun,1,-1.47149486547154
arduino,Mon,2,0.377649955252965
arduino.meta,Tue,3,-0.207545680114952
arduino.meta,Wed,4,1.69229554555269
arduino.meta,Thu,5,1.09626692573539
arduino.meta,Fri,6,-0.691818933716507
arduino.meta,Sat,7,-0.803574299932251
arduino.meta,Sun,1,-0.840826088670832
arduino.meta,Mon,2,-0.244797468853533
askubuntu,Wed,4,0.804434092744799
askubuntu,Thu,5,0.762732348524749
askubuntu,Fri,6,0.27001202406115
askubuntu,Sat,7,-1.5046815225762
askubuntu,Sun,1,-1.33408347803963
askubuntu,Mon,2,0.224400741320471
askubuntu,Tue,3,0.777185793964653
askubuntu.meta,Wed,4,0.874429289409552
askubuntu.meta,Thu,5,0.338950186862167
askubuntu.meta,Fri,6,0.769945562083233
askubuntu.meta,Sat,7,-1.41985922313087
askubuntu.meta,Sun,1,-1.42856620040807
askubuntu.meta,Mon,2,0.212699016342864
askubuntu.meta,Tue,3,0.652401368841124
astronomy,Tue,3,0.579804988577181
astronomy,Wed,4,0.997793333329755
astronomy,Thu,5,0.605330994363598
astronomy,Fri,6,0.41069520024217
astronomy,Sat,7,-1.45908472361286
astronomy,Sun,1,-1.39207895842351
astronomy,Mon,2,0.257539165523669
astronomy.meta,Tue,3,1.47039005312045
astronomy.meta,Wed,4,0.735195026560226
astronomy.meta,Thu,5,0
astronomy.meta,Fri,6,-0.339320781489335
astronomy.meta,Sat,7,-0.961408880886449
astronomy.meta,Sun,1,-1.4138365895389
astronomy.meta,Mon,2,0.508981172234003
augur,Wed,4,0.395511532508166
augur,Thu,5,1.32575465696737
augur,Fri,6,-0.711920758514698
augur,Sat,7,-1.39852877894887
augur,Sun,1,-0.468285654489668
augur,Mon,2,-0.29109648792601
augur,Tue,3,1.14856549040371
augur.meta,Thu,5,-0.207019667802706
augur.meta,Sat,7,0.75907211527659
augur.meta,Sun,1,-1.173111450882
augur.meta,Mon,2,0.276026223736942
augur.meta,Tue,3,-0.690065559342354
augur.meta,Wed,4,1.72516389835589
augur.meta,Fri,6,-0.690065559342354
aviation,Tue,3,0.744317031596122
aviation,Wed,4,0.821114793158428
aviation,Thu,5,0.644387414141555
aviation,Fri,6,0.23264037925931
aviation,Sat,7,-1.61883336635725
aviation,Sun,1,-1.23114346160296
aviation,Mon,2,0.407517209804803
aviation.meta,Tue,3,0.488072181563985
aviation.meta,Wed,4,0.511880580664667
aviation.meta,Thu,5,1.14280315683274
aviation.meta,Fri,6,0.273796589657845
aviation.meta,Sat,7,-1.30946195053752
aviation.meta,Sun,1,-1.49992914334298
aviation.meta,Mon,2,0.392838585161256
avp,Tue,3,0.737679547998272
avp,Wed,4,0.640355105747558
avp,Thu,5,0.709872564498068
avp,Fri,6,0.0508470555432302
avp,Sat,7,-1.39233538811736
avp,Mon,2,0.704311167798027
avp,Sun,1,-1.45073005346779
avp.meta,Tue,3,0.240360023240428
avp.meta,Wed,4,1.59458356881454
avp.meta,Thu,5,0.404508331794866
avp.meta,Fri,6,-0.0879365938684489
avp.meta,Sat,7,-0.90867813664064
avp.meta,Mon,2,0.281397100379037
avp.meta,Sun,1,-1.52423429371978
beer,Tue,3,1.25446262395587
beer,Wed,4,1.01652898486517
beer,Thu,5,0.473742870689514
beer,Fri,6,-0.0987849483724771
beer,Sat,7,-1.35537197982022
beer,Sun,1,-1.13974461939428
beer,Mon,2,-0.150832931923567
beer.meta,Tue,3,0.75449824978206
beer.meta,Wed,4,1.12512896897325
beer.meta,Thu,5,0.291209850793076
beer.meta,Fri,6,-0.0794208683981116
beer.meta,Sun,1,-1.00599766637608
beer.meta,Mon,2,0.569182890186466
beer.meta,Sat,7,-1.65460142496066
bicycles,Wed,4,0.887439091010824
bicycles,Thu,5,0.746093969617715
bicycles,Fri,6,0.00558776760224366
bicycles,Sat,7,-1.62210353598759
bicycles,Sun,1,-1.124284240515
bicycles,Mon,2,0.282055269195055
bicycles,Tue,3,0.825211679076751
bicycles.meta,Wed,4,-0.446777312135787
bicycles.meta,Thu,5,0.940749410764791
bicycles.meta,Fri,6,1.18301598142997
bicycles.meta,Sat,7,-1.26167395891867
bicycles.meta,Sun,1,-1.23964972522183
bicycles.meta,Mon,2,0.25799816616292
bicycles.meta,Tue,3,0.566337437918604
bioinformatics,Tue,3,0.783159341679884
bioinformatics,Wed,4,0.902552054386073
bioinformatics,Thu,5,0.788134038042642
bioinformatics,Fri,6,0.136448814521359
bioinformatics,Sat,7,-1.43555523611013
bioinformatics,Sun,1,-1.35596009430601
bioinformatics,Mon,2,0.18122108178618
bioinformatics.meta,Tue,3,0.507384152949097
bioinformatics.meta,Wed,4,1.28995971088754
bioinformatics.meta,Thu,5,0.808374752156188
bioinformatics.meta,Fri,6,0.447186033107679
bioinformatics.meta,Sat,7,-1.23836132245203
bioinformatics.meta,Sun,1,-1.05776696292778
bioinformatics.meta,Mon,2,-0.756776363720687
biology,Wed,4,1.07373073696992
biology,Thu,5,0.624858564248585
biology,Fri,6,-0.0434622262476215
biology,Sat,7,-1.49107498327392
biology,Sun,1,-1.2703794983526
biology,Mon,2,0.500171849603771
biology,Tue,3,0.606155557051863
biology.meta,Wed,4,1.22811531131169
biology.meta,Thu,5,0.256156604893471
biology.meta,Fri,6,-0.330370200703729
biology.meta,Sat,7,-1.48666590316678
biology.meta,Sun,1,-0.983928641226323
biology.meta,Mon,2,0.289672422356168
biology.meta,Tue,3,1.02702040653551
bitcoin,Tue,3,0.652818175955447
bitcoin,Wed,4,0.987694425748417
bitcoin,Thu,5,0.642939820504327
bitcoin,Fri,6,0.30905140625647
bitcoin,Sat,7,-1.44040534413689
bitcoin,Sun,1,-1.39792841569707
bitcoin,Mon,2,0.245829931369302
bitcoin.meta,Tue,3,0.521423664266924
bitcoin.meta,Wed,4,1.05556497888182
bitcoin.meta,Thu,5,0.99621594392461
bitcoin.meta,Fri,6,0.135654937045054
bitcoin.meta,Sat,7,-1.61514159419267
bitcoin.meta,Sun,1,-0.991976727141952
bitcoin.meta,Mon,2,-0.10174120278379
blender,Wed,4,0.932959434886474
blender,Thu,5,0.708086774669637
blender,Fri,6,0.142612009856585
blender,Sat,7,-1.54910783562406
blender,Sun,1,-1.24708221248764
blender,Mon,2,0.241405437985321
blender,Tue,3,0.771126390713687
blender.meta,Wed,4,0.633162417536422
blender.meta,Thu,5,1.76428069469784
blender.meta,Fri,6,-0.451787766679635
blender.meta,Sat,7,-0.798048463769866
blender.meta,Sun,1,-1.25972939322351
blender.meta,Mon,2,-0.105527069589404
blender.meta,Tue,3,0.217649581028145
boardgames,Tue,3,0.755006731913085
boardgames,Wed,4,0.597647803838155
boardgames,Thu,5,0.506674673544836
boardgames,Fri,6,0.178433784513536
boardgames,Sat,7,-1.57587239019682
boardgames,Sun,1,-1.27836566680515
boardgames,Mon,2,0.816475063192354
boardgames.meta,Tue,3,0.92656707501299
boardgames.meta,Wed,4,0.46497435333681
boardgames.meta,Thu,5,0.891059942576361
boardgames.meta,Fri,6,0.251931558717036
boardgames.meta,Sat,7,-1.45241079824117
boardgames.meta,Sun,1,-1.3695608225557
boardgames.meta,Mon,2,0.287438691153665
bricks,Tue,3,1.33249109889988
bricks,Wed,4,0.893764970331684
bricks,Thu,5,0.376909531196551
bricks,Fri,6,-0.133935960971894
bricks,Sat,7,-1.17365678620885
bricks,Sun,1,-1.37198503610954
bricks,Mon,2,0.0764121828621712
bricks.meta,Tue,3,1.60782660227362
bricks.meta,Wed,4,0.238196533670165
bricks.meta,Thu,5,0.535942200757872
bricks.meta,Fri,6,-0.178647400252624
bricks.meta,Sat,7,-1.19098266835083
bricks.meta,Sun,1,-1.25053180176837
bricks.meta,Mon,2,0.238196533670165
buddhism,Tue,3,1.30647717170768
buddhism,Wed,4,0.934856998421942
buddhism,Thu,5,0.133550999774563
buddhism,Fri,6,-0.0464525216607176
buddhism,Sat,7,-1.72454986665414
buddhism,Sun,1,0.0464525216607176
