Id,CreationDate,koty,psy,króliki,ptaki,gady,robaki,żółwie,fretki,konie,ślimaki,gryzonie,wodne
1,2013-10-08T21:29:51.963,0,2,0,0,0,0,0,0,0,0,0,0
2,2013-10-08T21:40:34.497,0,4,0,0,0,0,0,0,0,0,0,0
3,2013-10-08T21:44:30.850,0,4,1,0,0,0,0,0,0,0,0,0
4,2013-10-08T22:00:00.877,0,6,1,0,0,0,0,0,0,0,0,0
5,2013-10-08T22:00:43.917,0,6,3,0,0,0,0,0,0,0,0,0
6,2013-10-08T22:01:25.917,1,7,5,0,0,0,0,0,0,0,0,0
7,2013-10-08T22:02:12.480,2,7,5,0,0,0,0,0,0,0,0,0
8,2013-10-08T22:02:25.547,2,9,5,0,0,0,0,0,0,0,0,0
9,2013-10-08T22:03:23.440,2,9,5,0,0,0,0,2,0,0,0,0
10,2013-10-08T22:05:05.040,2,10,5,0,0,0,0,2,0,0,0,0
11,2013-10-08T22:05:23.180,2,11,5,0,0,0,0,2,0,0,0,0
12,2013-10-08T22:05:25.733,3,11,5,0,0,0,0,2,0,0,0,0
13,2013-10-08T22:06:12.063,3,12,5,0,0,0,0,2,0,0,0,0
14,2013-10-08T22:06:37.703,4,12,5,0,0,0,0,2,0,0,0,0
15,2013-10-08T22:07:36.007,4,15,5,0,0,0,0,2,0,0,0,0
16,2013-10-08T22:10:23.147,6,15,5,0,0,0,0,2,0,0,0,0
17,2013-10-08T22:12:09.483,8,15,5,0,0,0,0,2,0,0,0,0
18,2013-10-08T22:13:40.607,8,16,5,0,0,0,0,2,0,0,0,0
19,2013-10-08T22:14:06.353,8,20,5,0,0,0,0,2,0,0,0,0
20,2013-10-08T22:14:31.100,10,20,5,0,0,0,0,2,0,0,0,0
21,2013-10-08T22:16:33.417,12,21,5,0,0,0,0,2,0,0,0,0
22,2013-10-08T22:17:35.280,12,21,5,0,0,0,0,2,0,0,0,0
23,2013-10-08T22:17:35.400,13,21,5,0,0,0,0,2,0,0,0,0
24,2013-10-08T22:18:44.063,14,22,5,0,0,0,0,2,0,0,0,0
25,2013-10-08T22:19:47.677,14,23,5,0,0,0,0,2,0,0,0,0
26,2013-10-08T22:19:54.037,14,25,5,0,0,0,0,2,0,0,0,0
27,2013-10-08T22:20:47.557,16,26,5,0,0,0,0,2,0,0,0,0
28,2013-10-08T22:22:37.033,16,27,5,0,0,0,0,2,0,0,0,0
29,2013-10-08T22:23:42.773,16,29,5,0,0,0,0,2,0,0,0,0
30,2013-10-08T22:23:52.703,17,29,5,0,0,0,0,2,0,0,0,0
31,2013-10-08T22:27:00.327,17,30,5,0,0,0,0,2,0,0,0,0
32,2013-10-08T22:27:41.500,18,31,5,0,0,0,0,2,0,0,1,0
33,2013-10-08T22:31:20.960,19,31,5,0,0,0,0,2,0,0,1,0
34,2013-10-08T22:32:33.697,21,31,5,0,0,0,0,2,0,0,1,0
35,2013-10-08T22:32:35.407,22,31,5,0,0,0,0,2,0,0,1,0
36,2013-10-08T22:35:13.993,25,31,5,0,0,0,0,2,0,0,1,0
37,2013-10-08T22:35:35.663,26,31,5,0,0,0,0,2,0,0,1,0
38,2013-10-08T22:40:55.697,26,32,5,0,0,0,0,2,0,0,1,0
39,2013-10-08T22:41:58.733,26,33,5,0,0,0,0,2,0,0,1,0
40,2013-10-08T22:42:23.547,28,33,5,0,0,0,0,2,0,0,1,0
41,2013-10-08T22:43:15.380,29,33,5,0,0,0,0,2,0,0,1,0
42,2013-10-08T22:45:29.283,30,33,5,0,0,0,0,2,0,0,1,0
43,2013-10-08T22:47:21.057,32,33,5,0,0,0,0,2,0,0,1,0
44,2013-10-08T22:47:26.870,32,34,5,0,0,0,0,2,0,0,1,0
45,2013-10-08T22:47:43.513,37,34,5,0,0,0,0,2,0,0,1,0
46,2013-10-08T22:48:26.790,39,34,9,0,0,0,0,2,0,0,1,0
