Użytkownik1,Użytkownik2,LiczbaWymian
-1,-1,171396
1,1,361
1,4,1
1,75,1
1,295,2
1,5970,1
1,7892,1
1,9321,10
1,11611,3
1,11683,3
1,15574,4
1,22986,1
1,28407,6
1,34933,8
1,37483,4
1,43171,1
1,48564,2
1,63368,19
1,199650,1
1,522224,1
4,4,36
4,65351,1
4,143307,1
5,5,4
11,11,4
24,24,1
24,20926,1
41,41,36
45,45,25
47,47,25
51,51,1
58,58,9
58,11399,1
63,63,1
68,68,1
75,75,81
75,26682,1
79,79,9
79,38273,2
97,97,121
110,110,1
113,113,1
123,123,1
135,135,1
144,144,4
147,147,4
157,157,16
161,161,1
176,176,1
183,183,4
198,198,25
198,14543,1
198,16814,1
198,519748,1
203,203,361
203,11910,1
207,207,1
207,886276,1
213,213,25
220,220,1
294,294,1
317,317,196
317,11399,2
317,166689,6
317,254470,1
317,1540386,1
335,335,576
335,37023,1
335,46311,2
341,341,4
349,349,64
349,8937,1
349,23619,8
349,465403,1
368,368,36
368,66711,1
378,378,121
378,398830,1
407,407,1
410,410,1
413,413,1
425,425,16
445,445,16
445,23619,2
445,35162,1
445,37099,4
445,115236,2
445,140666,1
445,446514,10
445,1420488,6
445,1968644,1
508,508,16
508,2114,2
508,2147,1
508,9321,3
508,17722,1
508,23235,1
508,37376,15
508,51327,1
508,204294,1
508,218740,6
508,523925,4
528,528,100
533,533,1
538,538,25
540,540,1
555,555,1
565,565,1
575,575,4
576,576,196
583,583,25
599,599,1
620,620,4
620,2114,5
620,4623,3
620,11975,5
620,28542,3
620,46050,1
620,109934,3
630,630,9
639,639,1
643,643,1
668,668,81
680,680,16
680,58469,2
682,682,1089
682,180824,4
682,237759,2
682,434515,12
682,1095914,1
682,1202837,1
682,1472771,1
683,683,1
686,686,1
689,689,121
717,717,1
744,744,1
756,756,1
766,766,4
793,793,1
809,809,9
831,831,16
851,851,121
869,869,4
896,896,25
904,904,49
904,5093,6
904,139772,1
904,218482,1
936,936,4
936,63368,6
936,74258,1
936,188123,1
948,948,9
956,956,1
970,970,4
970,5121,1
970,7598,3
970,7630,3
970,9321,4
970,11975,2
970,22243,1
970,34933,2
970,63368,3
970,85546,1
970,102159,6
970,106642,1
1012,1012,1
1064,1064,1
1065,1065,49
1075,1075,9
1088,1088,1
1092,1092,9
1102,1102,1
1107,1107,1
1115,1115,1
1115,2795463,1
1122,1122,4
1135,1135,4
1149,1149,64
1149,67231,1
1149,137678,1
1149,172783,1
1149,203271,1
1149,220499,2
1149,515131,2
1154,1154,25
1190,1190,1
1190,10891,1
1190,21018,2
1190,23619,6
1190,35162,2
1190,36137,1
1190,115236,2
1190,141090,4
1212,1212,4
1223,1223,16
1228,1228,64
1253,1253,1
1256,1256,1
1279,1279,1
1305,1305,9
1325,1325,49
1325,12878,2
1325,23991,3
1325,45534,44
1325,120635,2
1325,157369,2
1325,187623,18
1325,250476,1
1325,333594,4
1325,428425,8
1325,890941,10
1325,1071755,1
1325,1551181,2
1325,2363687,10
1335,1335,81
1335,7630,6
1335,7964,3
1335,9713,1
1335,20961,1
1335,21667,4
1335,23619,2
1335,32917,4
1335,49155,1
1335,60472,4
1335,79630,1
1335,102159,8
1335,145699,14
1335,189256,2
1335,319571,1
1335,404091,1
1335,415257,1
1335,1026765,5
1407,1407,1
1411,1411,1
1411,266065,2
1412,1412,4
1417,1417,9
1420,1420,16
1423,1423,36
1425,1425,1
1433,1433,1
1458,1458,49
1458,41447,1
1460,1460,4
1461,1461,9
1475,1475,9
1475,73658,1
1515,1515,4
1518,1518,1
1552,1552,9
1574,1574,1
1581,1581,1
1642,1642,16
1649,1649,4
1674,1674,1
1676,1676,1
1700,1700,4
1700,18071,2
1700,125615,1
1700,238697,1
1700,1045532,1
1705,1705,1
1705,270504,1
1715,1715,4
1755,1755,9
1774,1774,1
1787,1787,9
1794,1794,64
1814,1814,100
1825,1825,4
1844,1844,144
1849,1849,1
1866,1866,4
1867,1867,4
1878,1878,4
1879,1879,25
1879,12046,2
1879,28900,2
1879,95388,2
1887,1887,1
1892,1892,9
1899,1899,16
1899,51415,1
1934,1934,1
1948,1948,4
1950,1950,16
1951,1951,1
1957,1957,1
1961,1961,289
1973,1973,9
1998,1998,1
1998,63368,1
1999,1999,4
2034,2034,4
2045,2045,1
2076,2076,1
2083,2083,16
2104,2104,1
2104,22965,2
2111,2111,9
2114,2114,196
2114,5293,1
2114,7964,1
2114,9321,1
2114,12095,2
2114,20808,1
2114,22243,1
2114,28407,2
2114,29738,2
2114,32261,1
2114,35227,8
2114,41924,2
2114,53435,4
2114,55072,2
2114,57334,1
2114,74258,2
2114,127979,1
2114,218740,4
2114,225818,3
2114,226039,1
2114,242372,1
2114,254566,1
2114,260566,10
2114,293853,13
2114,500111,1
2114,979933,4
2114,1718377,19
2114,2015377,2
2114,2815598,2
2146,2146,1
2156,2156,9
2167,2167,16
2167,161212,1
2167,7676417,4
2172,2172,1
2178,2178,1
2203,2203,4
2212,2212,441
2212,9321,1
2212,19908,1
2212,21633,1
2212,24945,1
2212,37483,1
2238,2238,1
2264,2264,1
2297,2297,121
2298,2298,4
2333,2333,4
2335,2335,1
2336,2336,1
2348,140169,4
2353,2353,4
2360,2360,1
2389,2389,1
2397,2397,81
2402,2402,4
2430,2430,1
2438,2438,1
2440,2440,1
2445,2445,9
2455,2455,4
2482,2482,25
2493,2493,1
2494,2494,1
2505,2505,16
2505,12184,1
2510,2510,289
2515,2515,1
2517,2517,36
2555,2555,1
2557,2557,1
2561,2561,1
2593,2593,441
2632,2632,9
2642,2642,1
2650,2650,9
2654,2654,1
2676,2676,9
2686,2686,1
2715,2715,1
2717,2717,1
2728,2728,225
2745,2745,1
2745,29067,1
2745,45546,1
2745,140824,1
2771,2771,1
2774,2774,4
2810,2810,4
2854,2854,4
2915,2915,4
2929,2929,121
